Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,3p4sU48aqRkWTK7wfjU7cago38zWXW6xFyiUtuCGrSRNqTBuCoRP6py8vHndyotcUJMV5D9xnFPLY5JA1h3wsPiz,1686640810,2023-06-13T07:20:10,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1246.42,1842.25,3088.67,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2Ue7MnTRKBoaSKLDEFDYbWSdArrbJPbH2kvfpkhfc7cHKKuHtvD51Jho3QagGjDV1X7VQvkEvb9gmwJ6R9YQ97mg,1686189369,2023-06-08T01:56:09,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,750.57,1091.68,1842.25,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,osQxjaE4p6hdG9PuLAjYqx1LgpEJ7KacqxKr42kQUrYfgpgy2U3Ls7ipG6pSPGh6gLKHybMQL234486u3DoRAUC,1685012805,2023-05-25T11:06:45,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,547.29,0,547.29,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4X9qXs34cFP6kFXZmuTmdkVTYAf28YZaDMX9sJVeY3LJ45LFCFfez46Wsb1Mmsw4idZ3mf51QxZ9furZWFTEtYf5,1684589638,2023-05-20T13:33:58,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,752.67,0,752.67,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5p686PJxwnSj5G6oEuwbsE1X9CGkg2S1urvwCDybzoLiYzk2BWSvmGwMa5ut1YUZgWaTGkspCKVarHFiMHNRXq9c,1683595493,2023-05-09T01:24:53,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1445.03,0.00001,1445.03001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5fehoGfZ1hXDDtxQFF9VWeHS9u6Z7oJLoxmkqNpb7Qduk81vodU2oMmeXPZeEPKcGRFE7furmTZbSgKPvpXiXr53,1682974011,2023-05-01T20:46:51,0.00001,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0.00001,0,0.00001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5inYKy4XV2keax2LzgfrEHMX8k3LRank1P8vJwfyAJwSoco3SF6Xm1x3gVnsEm2oL2YDezcbAtpsrPyuqJMWWymY,1682346302,2023-04-24T14:25:02,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,1978.92001,2578.92001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2kuDzkvhXTTGbkjo55VnapCYYqChqUdMVw1M6cHea6Cex9y5JN5LRfcKEnS5SDctXH7FDmhKo5YghpmCfhAHxaAh,1681494873,2023-04-14T17:54:33,0.00001,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0.00001,1978.92,1978.92001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5fNqAP95kidpBR14uSqwE128KooZA6wWJReAWvih13vzYP1rFZMVapqksSRbdAJ4rV16CEVriLMAj8do4g5MQYh7,1681448014,2023-04-14T04:53:34,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,2878.92,3478.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,SiGAWhBujbSGTnGtGpBiArrYAgTqaxw2D3KtHyXK4HXgHhm3Mnx3Ht7wvJmCKEBVTMrbXQqikHpXuKMaHaS6urg,1680775124,2023-04-06T09:58:44,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,2278.92,2878.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3G71xMypUyqBqxmS3ygEhDkHZ25cT6Wg4JELmvxDaARWbk2Pymm46BPieQyr4W7nVKa5DoroPdMiQKbfVCmgfLjv,1680136196,2023-03-30T00:29:56,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2278.92,0,2278.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,dMCSFdGHDvda1wjfPB8wfWoE3uC1GH5datAt1zdsFthjkLnCEtn5jvJhyMXxRhb7i7HjKwg5Zv9paKJND8FZisi,1680092955,2023-03-29T12:29:15,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0,,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
