Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,2Ue7MnTRKBoaSKLDEFDYbWSdArrbJPbH2kvfpkhfc7cHKKuHtvD51Jho3QagGjDV1X7VQvkEvb9gmwJ6R9YQ97mg,1686189369,2023-06-08T01:56:09,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,750.57,1091.68,1842.25,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,sNQoHBbskX51f3JoAKx4BhoSiT4FVe4FKLj7BULLv4ZdTqqt82trsCCtrQwxjGY9C84CKdHkLBPhjjjSYhAME2H,1686182043,2023-06-07T23:54:03,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,544.39,547.29,1091.68,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,osQxjaE4p6hdG9PuLAjYqx1LgpEJ7KacqxKr42kQUrYfgpgy2U3Ls7ipG6pSPGh6gLKHybMQL234486u3DoRAUC,1685012805,2023-05-25T11:06:45,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,547.29,0,547.29,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,21RBbjHnEBTAjcnq8CPuRxEM4cWjCnqAwb7MUy6j64ZsvAaaaGxDZTZunuK7FWKex7Jqp5GApwNZC2phTf2zV4RZ,1684692519,2023-05-21T18:08:39,0.000016,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-752.67,752.67,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4X9qXs34cFP6kFXZmuTmdkVTYAf28YZaDMX9sJVeY3LJ45LFCFfez46Wsb1Mmsw4idZ3mf51QxZ9furZWFTEtYf5,1684589638,2023-05-20T13:33:58,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,752.67,0,752.67,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3JwnVyfzwoh6Q33eSjddJqaJ8gYjZ5PFGiS7XcLPkVsxzrtcbSoD76ugV6Dm6MQnvsEU6oQwuSjV2BoV2k2avXMM,1683998990,2023-05-13T17:29:50,0.0000066,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-1445.03001,1445.03001,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5p686PJxwnSj5G6oEuwbsE1X9CGkg2S1urvwCDybzoLiYzk2BWSvmGwMa5ut1YUZgWaTGkspCKVarHFiMHNRXq9c,1683595493,2023-05-09T01:24:53,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1445.03,0.00001,1445.03001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5XmBmKLdiNsfMGGYUqUhgcpSyrBSExwVAxAbQp3jX27e3vA3hGZTprPQkGqxQNyCLRoBa3wtLw46syDj6gcxD2Zr,1683062740,2023-05-02T21:25:40,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,11,12,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,5fehoGfZ1hXDDtxQFF9VWeHS9u6Z7oJLoxmkqNpb7Qduk81vodU2oMmeXPZeEPKcGRFE7furmTZbSgKPvpXiXr53,1682974011,2023-05-01T20:46:51,0.00001,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0.00001,0,0.00001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4Rj9FS2qKC36rmBMhFevN7Me5A4exoBGJjWE8GJAv2dBMt4PdUMDD39nRqd7zMssHqNbb5G2KActSpbsHujPPVgz,1682971404,2023-05-01T20:03:24,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-2578.92001,2578.92001,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,JxGhzsKtibTq42K7NxCbZAuSn1hpK61GM2wMv1TLuZRYY1pJHD5f9cmyGd7tnCcichYkoM515nTKV2b9Lsy99Yh,1682719431,2023-04-28T22:03:51,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,10,11,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,5wv9RzdotRUhwKFAYVexWeipwrQLDPWZxNzfTyZtXbXWr3ESbrg8suqPUVRkobvuwGuqdBfxziKLzH37bbRszPQw,1682608817,2023-04-27T15:20:17,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,dec,1,9,10,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,KqSP7aGJGq59JCgc6aAXKxXhC9zK6wDerKHASz2eTw85tTR9NCuUyyARGZLidChadbCetbK41YDxmYCq2iW8CSG,1682551892,2023-04-26T23:31:32,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,8,9,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,5w7XtL11wV8YxVvXjUMoPXEpKWf314cMcYGyg2ZX1uDqKFZ8xJgZXpwZwpwD9E7TC6CWxNadoHvJ1k3DUY8Y7ipQ,1682356833,2023-04-24T17:20:33,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,7,8,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,61EQQPDd4qvEe8jG1sLMT4Nu7QwTNhQsRwscqj6SrGDKxYAThbMCFR8A6BiSE8xMFCKfJjJKBZB5VQn3XniN9qbh,1682346368,2023-04-24T14:26:08,0.000005,7RG7fwykFhYdPcwJejMUSZKJSJe3HVwDN4KVpk3vwoPp,inc,1,,1,83vc7upLx8oBzinEFrkbaRfGnJaZSPatrX5k6pTdLP3P,RLB INV,,,,
TokenChange,42mg9hzDHhwxT54AYRDAtzZ3fdg8A98sXZFFTt7UhWmLGtwyGmpowkjQARdsErAvRS2itxJ1i5nKTseFJdTSgGxB,1682346341,2023-04-24T14:25:41,0.000005,8926tFDQ34J227YaKVmeHpx4RBdG22YpVjcYvu1fjvZV,inc,1,,1,GGANhf3yFYWCZmjjZ1gW29D7bRwfU2cNpF38m3WNDHnv,RAY Claim,,,,
TokenChange,5inYKy4XV2keax2LzgfrEHMX8k3LRank1P8vJwfyAJwSoco3SF6Xm1x3gVnsEm2oL2YDezcbAtpsrPyuqJMWWymY,1682346302,2023-04-24T14:25:02,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,1978.92001,2578.92001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3FBt6XHbDkyzC4mNuV2oHfUAtERZsR54KL2wDv1qjFoVteH26p4Djy53VE8NaYEgQ38RHxnfsBAt5qmk9CgjjNWu,1682012584,2023-04-20T17:43:04,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,6,7,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,7htEbxZDn2kr2iu1y58fVw3gnxyHUzZVsaimLLyFpwYVBSka3RwW2wG4jZMYmSwN25QqyRoKMe9HoYw4c1pugKf,1681893800,2023-04-19T08:43:20,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,5,6,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,2FCFKiWmR5qhEQD1qTpz5GjgTniCNGC1Us2aY86Xjdh4JKADHBuv3NBXED99BJadmHKjSe6A8ygPHNSseSgfGxq,1681843180,2023-04-18T18:39:40,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,4,5,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,65HsNQ3GYsYU4shAmThsAn944168ewzvKBjk9zwBb3F9QS33MX2vzMVTBrpDBRMpzXgdZ37gTeM9PoNoJ1TCC3Rf,1681745358,2023-04-17T15:29:18,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,3,4,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,4RzeC8gAKZ8a9bLSKLBdD52HkvYykw59D7zrAEDbWpxDKXSXRVq6Rf9tQgjwnEtFqkv8S7E5ExfEjH9qo9yWfNFm,1681624694,2023-04-16T05:58:14,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,2,3,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,2kuDzkvhXTTGbkjo55VnapCYYqChqUdMVw1M6cHea6Cex9y5JN5LRfcKEnS5SDctXH7FDmhKo5YghpmCfhAHxaAh,1681494873,2023-04-14T17:54:33,0.00001,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0.00001,1978.92,1978.92001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
